name,age,position,school,draft_pick,season,games,pass_cmp,pass_att,cmp%,yds,TDs,TD%,Int,Int%,Rating,Rush Attempts,Rush Yards,Rush TDs,passCMP,passingYDS,passingTDS,passingINT,rushingYDS,rushingTDS
Sam Darnold,21,QB,USC,3,2016,13,246,366,366.0,3086,31,8.5,9,2.5,161.1,62,250,2.0,57.7,2865.0,17.0,15.0,138.0,1.0
Sam Darnold,21,QB,USC,3,2017,13,303,480,480.0,4143,26,5.4,13,2.7,148.1,75,82,5.0,57.7,2865.0,17.0,15.0,138.0,1.0
Josh Allen,22,QB,Wyoming,7,2015,12,4,6,6.0,51,0,0.0,0,0.0,138.1,3,40,0.0,52.8,2074.0,10.0,12.0,631.0,8.0
Josh Allen,22,QB,Wyoming,7,2016,12,209,373,373.0,3203,28,7.5,15,4.0,144.9,142,523,7.0,52.8,2074.0,10.0,12.0,631.0,8.0
Josh Allen,22,QB,Wyoming,7,2017,12,152,270,270.0,1812,16,5.9,6,2.2,127.8,92,204,5.0,52.8,2074.0,10.0,12.0,631.0,8.0
Josh Rosen,21,QB,UCLA,10,2015,14,292,487,487.0,3670,23,4.7,11,2.3,134.3,37,15,2.0,55.2,2278.0,11.0,14.0,138.0,0.0
Josh Rosen,21,QB,UCLA,10,2016,14,137,231,231.0,1915,10,4.3,5,2.2,138.9,22,-72,2.0,55.2,2278.0,11.0,14.0,138.0,0.0
Josh Rosen,21,QB,UCLA,10,2017,14,283,452,452.0,3756,26,5.8,10,2.2,147.0,50,-97,2.0,55.2,2278.0,11.0,14.0,138.0,0.0
Lamar Jackson,21,QB,Louisville,32,2015,16,135,247,247.0,1840,12,4.9,8,3.2,126.8,163,960,11.0,58.2,1201.0,6.0,3.0,695.0,5.0
Lamar Jackson,21,QB,Louisville,32,2016,16,230,409,409.0,3543,30,7.3,9,2.2,148.8,260,1571,21.0,58.2,1201.0,6.0,3.0,695.0,5.0
Lamar Jackson,21,QB,Louisville,32,2017,16,254,430,430.0,3660,27,6.3,10,2.3,146.6,232,1601,18.0,58.2,1201.0,6.0,3.0,695.0,5.0
Mason Rudolph,23,QB,Oklahoma St.,76,2014,10,49,86,86.0,853,6,7.0,4,4.7,154.0,14,-33,0.0,62.2,1765.0,13.0,9.0,42.0,0.0
Mason Rudolph,23,QB,Oklahoma St.,76,2015,10,264,424,424.0,3770,21,5.0,9,2.1,149.1,67,-35,1.0,62.2,1765.0,13.0,9.0,42.0,0.0
Mason Rudolph,23,QB,Oklahoma St.,76,2016,10,284,448,448.0,4091,28,6.3,4,0.9,158.9,83,61,6.0,62.2,1765.0,13.0,9.0,42.0,0.0
Mason Rudolph,23,QB,Oklahoma St.,76,2017,10,318,489,489.0,4904,37,7.6,9,1.8,170.6,61,35,10.0,62.2,1765.0,13.0,9.0,42.0,0.0
Mike White,23,QB,Western Kentucky,171,2013,4,93,175,175.0,1083,3,1.7,9,5.1,100.5,14,-43,0.0,66.7,953.0,5.0,8.0,-1.0,0.0
Mike White,23,QB,Western Kentucky,171,2014,4,122,242,242.0,1639,8,3.3,7,2.9,112.4,29,-85,0.0,66.7,953.0,5.0,8.0,-1.0,0.0
Mike White,23,QB,Western Kentucky,171,2016,4,280,416,416.0,4363,37,8.9,7,1.7,181.4,29,-74,0.0,66.7,953.0,5.0,8.0,-1.0,0.0
