name,age,position,school,draft_pick,season,games,rushATT,rushYDS,rushTDS,recs,recYDS,recTDS,rushingYDS,rushingTDS
Nick Bawden,22,RB,San Diego St.,237,2017*,12,0,0,0,15,103,1,,
Justin Jackson,22,RB,Northwestern,251,2014,13,245,1187,10,15,135,0,206.0,2.0
Justin Jackson,22,RB,Northwestern,251,2015*,13,312,1418,5,15,135,0,206.0,2.0
Justin Jackson,22,RB,Northwestern,251,2016*,13,298,1524,15,15,135,0,206.0,2.0
Justin Jackson,22,RB,Northwestern,251,2017*,13,287,1311,11,15,135,0,206.0,2.0
Josh Jacobs,21,RB,Alabama,24,2016*,13,85,567,4,20,166,0,1150.0,7.0
Josh Jacobs,21,RB,Alabama,24,2017*,13,46,284,1,20,166,0,1150.0,7.0
Josh Jacobs,21,RB,Alabama,24,2018*,13,120,640,11,20,166,0,1150.0,7.0
Miles Sanders,22,RB,Penn St.,53,2016*,16,25,184,1,50,509,3,818.0,3.0
Miles Sanders,22,RB,Penn St.,53,2017*,16,31,191,2,50,509,3,818.0,3.0
Miles Sanders,22,RB,Penn St.,53,2018*,16,220,1274,9,50,509,3,818.0,3.0
Darrell Henderson,22,RB,Memphis,70,2016*,13,87,482,5,4,37,0,147.0,0.0
Darrell Henderson,22,RB,Memphis,70,2017*,13,130,1154,9,4,37,0,147.0,0.0
Darrell Henderson,22,RB,Memphis,70,2018*,13,214,1909,22,4,37,0,147.0,0.0
David Montgomery,22,RB,Iowa St.,73,2016,16,109,563,2,25,185,1,889.0,6.0
David Montgomery,22,RB,Iowa St.,73,2017*,16,258,1146,11,25,185,1,889.0,6.0
David Montgomery,22,RB,Iowa St.,73,2018*,16,257,1216,13,25,185,1,889.0,6.0
Devin Singletary,22,RB,Florida Atlantic,74,2016,12,152,1021,12,29,194,2,775.0,2.0
Devin Singletary,22,RB,Florida Atlantic,74,2017*,12,301,1920,32,29,194,2,775.0,2.0
Devin Singletary,22,RB,Florida Atlantic,74,2018,12,261,1348,22,29,194,2,775.0,2.0
Damien Harris,22,RB,Alabama,87,2015*,2,36,113,0,0,0,0,12.0,0.0
Damien Harris,22,RB,Alabama,87,2016*,2,120,790,1,0,0,0,12.0,0.0
Damien Harris,22,RB,Alabama,87,2017*,2,135,1000,11,0,0,0,12.0,0.0
