name,age,position,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,collegeURL
Leonte Carroo,22,WR,Rutgers,86.0,2014*,13.0,55.0,1086.0,10.0,0.0,0.0,0.0,/cfb/schools/rutgers/2014.html
Leonte Carroo,22,WR,Rutgers,86.0,2015,8.0,39.0,809.0,10.0,0.0,0.0,0.0,/cfb/schools/rutgers/2015.html
Leonte Carroo,22,WR,,,,14.0,3.0,29.0,1.0,,,,
Chris Moore,23,WR,Cincinnati,107.0,2012*,12.0,4.0,113.0,2.0,0.0,0.0,0.0,/cfb/schools/cincinnati/2012.html
Chris Moore,23,WR,Cincinnati,107.0,2013*,13.0,45.0,645.0,9.0,2.0,16.0,0.0,/cfb/schools/cincinnati/2013.html
Chris Moore,23,WR,Cincinnati,107.0,2014*,13.0,30.0,673.0,8.0,0.0,0.0,0.0,/cfb/schools/cincinnati/2014.html
Chris Moore,23,WR,Cincinnati,107.0,2015*,12.0,40.0,870.0,7.0,2.0,10.0,0.0,/cfb/schools/cincinnati/2015.html
Chris Moore,23,WR,,,,15.0,7.0,46.0,0.0,,,,
Malcolm Mitchell,24,WR,Georgia,112.0,2011*,11.0,45.0,665.0,4.0,4.0,38.0,0.0,/cfb/schools/georgia/2011.html
Malcolm Mitchell,24,WR,Georgia,112.0,2012*,13.0,40.0,572.0,4.0,5.0,17.0,0.0,/cfb/schools/georgia/2012.html
Malcolm Mitchell,24,WR,Georgia,112.0,2014*,9.0,31.0,248.0,3.0,0.0,0.0,0.0,/cfb/schools/georgia/2014.html
Malcolm Mitchell,24,WR,Georgia,112.0,2015*,13.0,58.0,865.0,5.0,0.0,0.0,0.0,/cfb/schools/georgia/2015.html
Malcolm Mitchell,24,WR,,,,14.0,32.0,401.0,4.0,,,,
Ricardo Louis,22,WR,Auburn,114.0,2012,11.0,3.0,36.0,0.0,2.0,2.0,0.0,/cfb/schools/auburn/2012.html
Ricardo Louis,22,WR,Auburn,114.0,2013*,14.0,28.0,325.0,2.0,19.0,198.0,0.0,/cfb/schools/auburn/2013.html
Ricardo Louis,22,WR,Auburn,114.0,2014*,12.0,21.0,261.0,3.0,18.0,220.0,1.0,/cfb/schools/auburn/2014.html
Ricardo Louis,22,WR,Auburn,114.0,2015*,13.0,46.0,716.0,3.0,29.0,158.0,1.0,/cfb/schools/auburn/2015.html
Ricardo Louis,22,WR,,,,16.0,18.0,205.0,0.0,,,,
Pharoh Cooper,21,WR,South Carolina,117.0,2013*,9.0,3.0,54.0,1.0,20.0,202.0,1.0,/cfb/schools/south-carolina/2013.html
Pharoh Cooper,21,WR,South Carolina,117.0,2014*,13.0,69.0,1136.0,9.0,27.0,200.0,2.0,/cfb/schools/south-carolina/2014.html
Pharoh Cooper,21,WR,South Carolina,117.0,2015,12.0,66.0,973.0,8.0,24.0,111.0,1.0,/cfb/schools/south-carolina/2015.html
Pharoh Cooper,21,WR,,,,10.0,14.0,106.0,0.0,,,,
Demarcus Robinson,21,WR,Florida,126.0,2013,4.0,5.0,23.0,0.0,0.0,0.0,0.0,/cfb/schools/florida/2013.html
Demarcus Robinson,21,WR,Florida,126.0,2014*,12.0,54.0,821.0,7.0,1.0,3.0,0.0,/cfb/schools/florida/2014.html
Demarcus Robinson,21,WR,Florida,126.0,2015*,13.0,48.0,522.0,2.0,1.0,1.0,0.0,/cfb/schools/florida/2015.html
Demarcus Robinson,21,WR,,,,16.0,0.0,0.0,0.0,,,,
Tajae Sharpe,21,WR,Massachusetts,140.0,2012,11.0,20.0,206.0,0.0,0.0,0.0,0.0,/cfb/schools/massachusetts/2012.html
Tajae Sharpe,21,WR,Massachusetts,140.0,2013,12.0,61.0,680.0,4.0,0.0,0.0,0.0,/cfb/schools/massachusetts/2013.html
Tajae Sharpe,21,WR,Massachusetts,140.0,2014,12.0,85.0,1281.0,7.0,3.0,14.0,0.0,/cfb/schools/massachusetts/2014.html
Tajae Sharpe,21,WR,Massachusetts,140.0,2015,12.0,111.0,1319.0,5.0,1.0,-3.0,0.0,/cfb/schools/massachusetts/2015.html
Tajae Sharpe,21,WR,,,,16.0,41.0,522.0,2.0,,,,
Jordan Payton,23,WR,UCLA,154.0,2012*,13.0,18.0,202.0,1.0,0.0,0.0,0.0,/cfb/schools/ucla/2012.html
