name,position_x,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,collegeURL,YPC,YPG,TDPG,RPG,Team_RPG,Team_YPG,Team_TDPG,YPG_diff,RPG_diff,TDPG_diff,second_last_TDPG,second_last_RPG,second_last_YPG,age,position_y,nfl_games, nfl_recs, nfl_recYDS, nfl_recTDS
T.Y. Hilton,WR,Florida International,92.0,2011.0,13.0,72.0,1038.0,7.0,19.0,124.0,1.0,/cfb/schools/florida-international/2011.html,14.416666666666666,79.84615384615384,0.5384615384615384,5.538461538461538,18.3,214.9,1.2,14.615384615384611,1.0,0.1538461538461538,0.3846153846153846,4.538461538461538,65.23076923076923,22,WR,15.0,50.0,861.0,7.0
Chris Givens,WR,Wake Forest,96.0,2011.0,13.0,83.0,1330.0,9.0,14.0,77.0,0.0,/cfb/schools/wake-forest/2011.html,16.02409638554217,102.3076923076923,0.6923076923076923,6.384615384615385,21.4,253.2,1.7,55.58041958041958,3.202797202797204,0.3286713286713286,0.3636363636363636,3.1818181818181817,46.72727272727273,22,WR,15.0,42.0,698.0,3.0
Travis Benjamin,WR,Miami (FL),100.0,2011.0,11.0,41.0,609.0,3.0,8.0,19.0,0.0,/cfb/schools/miami-fl/2011.html,14.853658536585366,55.36363636363637,0.2727272727272727,3.727272727272727,18.5,232.1,1.8,-1.7902097902097864,0.4195804195804196,0.0419580419580419,0.2307692307692307,3.3076923076923075,57.15384615384615,22,WR,14.0,18.0,298.0,2.0
Devon Wylie,WR,Fresno St.,107.0,2011.0,13.0,56.0,716.0,1.0,8.0,48.0,0.0,/cfb/schools/fresno-state/2011.html,12.785714285714286,55.07692307692308,0.0769230769230769,4.307692307692308,21.5,272.6,2.0,16.07692307692308,2.3076923076923075,-0.9230769230769232,1.0,2.0,39.0,24,WR,6.0,6.0,53.0,0.0
Jarius Wright,WR,Arkansas,118.0,2011.0,12.0,66.0,1117.0,12.0,0.0,0.0,0.0,/cfb/schools/arkansas/2011.html,16.924242424242426,93.08333333333331,1.0,5.5,23.0,300.7,2.0,32.467948717948715,2.269230769230769,0.6153846153846154,0.3846153846153846,3.230769230769231,60.61538461538461,22,WR,7.0,22.0,310.0,2.0
Keshawn Martin,WR,Michigan St.,121.0,2011.0,14.0,66.0,777.0,4.0,19.0,113.0,2.0,/cfb/schools/michigan-state/2011.html,11.772727272727272,55.5,0.2857142857142857,4.714285714285714,20.6,252.5,1.9,19.68181818181818,1.8051948051948048,0.1948051948051948,0.0909090909090909,2.909090909090909,35.81818181818182,22,WR,16.0,10.0,85.0,1.0
Nick Toon,WR,Wisconsin,122.0,2011.0,13.0,64.0,926.0,10.0,0.0,0.0,0.0,/cfb/schools/wisconsin/2011.html,14.46875,71.23076923076923,0.7692307692307693,4.923076923076923,16.6,234.3,2.4,20.230769230769223,0.9230769230769234,0.4358974358974359,0.3333333333333333,4.0,51.0,23,WR,8.0,4.0,68.0,0.0
Marvin Jones,WR,California,166.0,2011.0,13.0,62.0,846.0,3.0,5.0,22.0,0.0,/cfb/schools/california/2011.html,13.64516129032258,65.07692307692308,0.2307692307692307,4.769230769230769,18.9,246.6,1.3,1.3269230769230802,0.6025641025641022,-0.1025641025641025,0.3333333333333333,4.166666666666667,63.75,22,WR,11.0,18.0,201.0,1.0
Juron Criner,WR,Arizona,168.0,2011.0,11.0,75.0,956.0,11.0,1.0,0.0,0.0,/cfb/schools/arizona/2011.html,12.746666666666666,86.9090909090909,1.0,6.818181818181818,33.2,370.8,2.4,-7.937062937062933,0.5104895104895109,0.1538461538461538,0.8461538461538461,6.307692307692308,94.84615384615384,22,WR,12.0,16.0,151.0,1.0
Marvin McNutt,WR,Iowa,194.0,2011.0,13.0,82.0,1315.0,12.0,6.0,58.0,0.0,/cfb/schools/iowa/2011.html,16.036585365853657,101.15384615384616,0.9230769230769232,6.307692307692308,18.5,234.8,1.9,34.923076923076934,2.230769230769231,0.3076923076923077,0.6153846153846154,4.076923076923077,66.23076923076923,23,WR,4.0,0.0,0.0,0.0
