name,school,draft_pick,season,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,YPG,TDPG,RPG,YPG_diff,RPG_diff,TDPG_diff,second_last_TDPG,second_last_RPG,second_last_YPG,age,nfl_games,nfl_recs,nfl_recYDS,nfl_recTDS,Yards_percentage,Receptions_Percentage,TD_Percentage,nfl_YPG,nfl_TDPG,nfl_RPG
JJ Arcega-Whiteside,Stanford,57.0,2018.0,63.0,1059.0,14.0,0.0,0.0,0.0,88.25,1.1666666666666667,5.25,23.16666666666667,1.25,0.4166666666666667,0.75,4.0,65.08333333333333,22,16.0,10.0,169.0,1.0,0.3231417063346759,0.01922372757231783,0.5303030303030303,10.5625,0.0625,0.625
Parris Campbell,Ohio St.,59.0,2018.0,90.0,1063.0,12.0,9.0,24.0,0.0,75.92857142857143,0.8571428571428571,6.428571428571429,31.00549450549451,3.351648351648352,0.6263736263736264,0.2307692307692307,3.076923076923077,44.92307692307692,22,7.0,18.0,127.0,1.0,0.2116770878967701,0.017921860687402924,0.23809523809523808,18.142857142857142,0.14285714285714285,2.5714285714285716
Andy Isabella,Massachusetts,62.0,2018.0,102.0,1698.0,13.0,11.0,79.0,1.0,141.5,1.0833333333333333,8.5,56.5,3.083333333333333,0.2499999999999999,0.8333333333333334,5.416666666666667,85.0,22,15.0,9.0,189.0,1.0,0.4748322147651007,0.028523489932885907,0.47101449275362317,12.6,0.06666666666666667,0.6
D.K. Metcalf,Mississippi,64.0,2018.0,26.0,569.0,5.0,0.0,0.0,0.0,81.28571428571429,0.7142857142857143,3.7142857142857135,27.45238095238096,0.4642857142857144,0.1309523809523809,0.5833333333333334,3.25,53.833333333333336,21,16.0,58.0,900.0,7.0,0.2346585285384362,0.010722533817222038,0.3968253968253968,56.25,0.4375,3.625
Diontae Johnson,Toledo,66.0,2018.0,49.0,761.0,8.0,2.0,17.0,0.0,58.53846153846154,0.6153846153846154,3.769230769230769,-32.74725274725275,-1.5164835164835164,-0.3131868131868132,0.9285714285714286,5.285714285714286,91.28571428571428,23,16.0,59.0,680.0,5.0,0.2568602963513012,0.016538967833395212,0.24615384615384617,42.5,0.3125,3.6875
Terry McLaurin,Ohio St.,76.0,2018.0,35.0,701.0,11.0,0.0,0.0,0.0,50.07142857142857,0.7857142857142857,2.5,18.928571428571427,0.4285714285714284,0.3571428571428571,0.4285714285714285,2.071428571428572,31.142857142857142,23,14.0,58.0,919.0,7.0,0.13959138157632722,0.006969612489545581,0.21825396825396826,65.64285714285714,0.5,4.142857142857143
Miles Boykin,Notre Dame,93.0,2018.0,59.0,872.0,8.0,0.0,0.0,0.0,67.07692307692308,0.6153846153846154,4.538461538461538,45.99358974358975,3.5384615384615383,0.4487179487179488,0.1666666666666666,1.0,21.08333333333333,22,16.0,13.0,198.0,3.0,0.26049290515309936,0.017625093353248692,0.3418803418803419,12.375,0.1875,0.8125
Hakeem Butler,Iowa St.,103.0,2018.0,60.0,1318.0,9.0,0.0,0.0,0.0,101.3846153846154,0.6923076923076923,4.615384615384615,47.76923076923077,1.4615384615384612,0.1538461538461538,0.5384615384615384,3.1538461538461537,53.61538461538461,23,2.0,0.0,0.0,0.0,0.4208576811316538,0.019158923268512307,0.4615384615384615,0.0,0.0,0.0
Riley Ridley,Georgia,126.0,2018.0,44.0,570.0,9.0,0.0,0.0,0.0,40.71428571428572,0.6428571428571429,3.142857142857143,25.142857142857142,2.142857142857143,0.5,0.1428571428571428,1.0,15.571428571428571,23,5.0,6.0,69.0,0.0,0.17943713404268719,0.013851287540137253,0.2678571428571429,13.8,0.0,1.2
Hunter Renfrow,Clemson,149.0,2018.0,49.0,544.0,1.0,0.0,0.0,0.0,36.266666666666666,0.0666666666666666,3.2666666666666666,-6.733333333333334,-1.019047619047619,-0.1476190476190476,0.2142857142857142,4.285714285714286,43.0,23,13.0,49.0,605.0,4.0,0.130127975122593,0.011721085994498266,0.026666666666666637,46.53846153846154,0.3076923076923077,3.769230769230769
Darius Slayton,Auburn,171.0,2018.0,35.0,670.0,5.0,0.0,0.0,0.0,55.833333333333336,0.4166666666666667,2.9166666666666665,6.371794871794876,0.6858974358974357,0.032051282051282,0.3846153846153846,2.230769230769231,49.46153846153846,22,14.0,48.0,740.0,8.0,0.250936329588015,0.013108614232209737,0.2604166666666667,52.857142857142854,0.5714285714285714,3.4285714285714284
KeeSean Johnson,Fresno St.,174.0,2018.0,95.0,1340.0,8.0,4.0,14.0,0.0,95.71428571428572,0.5714285714285714,6.785714285714286,23.357142857142847,1.2857142857142856,0.0,0.5714285714285714,5.5,72.35714285714286,22,10.0,21.0,187.0,1.0,0.3583462587580895,0.02540514521046157,0.3007518796992481,18.7,0.1,2.1
Travis Fulgham,Old Dominion,184.0,2018.0,63.0,1083.0,9.0,0.0,0.0,0.0,90.25,0.75,5.25,57.41666666666666,2.75,0.6666666666666666,0.0833333333333333,2.5,32.833333333333336,23,3.0,0.0,0.0,0.0,0.30387205387205385,0.017676767676767676,0.41666666666666663,0.0,0.0,0.0
Juwann Winfree,Colorado,187.0,2018.0,28.0,324.0,2.0,0.0,0.0,0.0,40.5,0.25,3.5,13.416666666666668,1.75,0.0833333333333333,0.1666666666666666,1.75,27.08333333333333,23,3.0,0.0,0.0,0.0,0.1622596153846154,0.014022435897435898,0.15625,0.0,0.0,0.0
Kelvin Harmon,North Carolina St.,206.0,2018.0,81.0,1186.0,7.0,0.0,0.0,0.0,98.83333333333331,0.5833333333333334,6.75,20.602564102564106,1.4423076923076923,0.2756410256410256,0.3076923076923077,5.307692307692308,78.23076923076923,22,16.0,30.0,365.0,0.0,0.31555981268624944,0.021551724137931036,0.30701754385964913,22.8125,0.0,1.875
