name,age,position,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,collegeURL
Ryan Broyles,24,WR,Oklahoma,54,2009*,12,89,1120,15,11,83,1,/cfb/schools/oklahoma/2009.html
Ryan Broyles,24,WR,Oklahoma,54,2010*,14,131,1622,14,0,0,0,/cfb/schools/oklahoma/2010.html
Ryan Broyles,24,WR,Oklahoma,54,2011*,9,83,1157,10,1,3,0,/cfb/schools/oklahoma/2011.html
Rueben Randle,21,WR,LSU,63,2009*,13,11,173,2,0,0,0,/cfb/schools/louisiana-state/2009.html
Rueben Randle,21,WR,LSU,63,2010*,13,33,544,3,0,0,0,/cfb/schools/louisiana-state/2010.html
Rueben Randle,21,WR,LSU,63,2011*,14,53,917,8,0,0,0,/cfb/schools/louisiana-state/2011.html
DeVier Posey,22,WR,Ohio St.,68,2008*,12,11,117,1,0,0,0,/cfb/schools/ohio-state/2008.html
DeVier Posey,22,WR,Ohio St.,68,2009*,13,60,828,8,2,19,0,/cfb/schools/ohio-state/2009.html
DeVier Posey,22,WR,Ohio St.,68,2010*,13,53,848,7,0,0,0,/cfb/schools/ohio-state/2010.html
DeVier Posey,22,WR,Ohio St.,68,2011*,4,12,162,2,1,-6,0,/cfb/schools/ohio-state/2011.html
T.J. Graham,23,WR,North Carolina St.,69,2008*,13,16,251,0,2,3,0,/cfb/schools/north-carolina-state/2008.html
T.J. Graham,23,WR,North Carolina St.,69,2009,7,12,129,1,0,0,0,/cfb/schools/north-carolina-state/2009.html
T.J. Graham,23,WR,North Carolina St.,69,2010*,13,25,316,4,1,-7,0,/cfb/schools/north-carolina-state/2010.html
T.J. Graham,23,WR,North Carolina St.,69,2011*,13,46,757,7,2,-5,0,/cfb/schools/north-carolina-state/2011.html
Mohamed Sanu,23,WR,Rutgers,83,2009*,13,51,639,3,62,346,5,/cfb/schools/rutgers/2009.html
Mohamed Sanu,23,WR,Rutgers,83,2010,12,44,418,2,59,309,4,/cfb/schools/rutgers/2010.html
Mohamed Sanu,23,WR,Rutgers,83,2011*,13,115,1206,7,4,-2,0,/cfb/schools/rutgers/2011.html
T.Y. Hilton,22,WR,Florida International,92,2008,12,41,1013,7,14,43,2,/cfb/schools/florida-international/2008.html
T.Y. Hilton,22,WR,Florida International,92,2009,12,57,632,5,6,49,0,/cfb/schools/florida-international/2009.html
T.Y. Hilton,22,WR,Florida International,92,2010*,13,59,848,5,30,282,4,/cfb/schools/florida-international/2010.html
T.Y. Hilton,22,WR,Florida International,92,2011*,13,72,1038,7,19,124,1,/cfb/schools/florida-international/2011.html
Chris Givens,22,WR,Wake Forest,96,2009,12,45,629,8,15,98,0,/cfb/schools/wake-forest/2009.html
Chris Givens,22,WR,Wake Forest,96,2010,11,35,514,4,16,63,2,/cfb/schools/wake-forest/2010.html
Chris Givens,22,WR,Wake Forest,96,2011*,13,83,1330,9,14,77,0,/cfb/schools/wake-forest/2011.html
