name,age,position,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,collegeURL
Denarius Moore,22,WR,Tennessee,148.0,2010*,13.0,47.0,981.0,9.0,7.0,82.0,1.0,/cfb/schools/tennessee/2010.html
Denarius Moore,22,WR,,,,13.0,33.0,618.0,5.0,,,,
Jeremy Kerley,22,WR,TCU,153.0,2007*,13.0,9.0,97.0,0.0,6.0,16.0,0.0,/cfb/schools/texas-christian/2007.html
Jeremy Kerley,22,WR,TCU,153.0,2008*,11.0,11.0,95.0,0.0,25.0,143.0,3.0,/cfb/schools/texas-christian/2008.html
Jeremy Kerley,22,WR,TCU,153.0,2009*,13.0,44.0,532.0,2.0,14.0,50.0,3.0,/cfb/schools/texas-christian/2009.html
Jeremy Kerley,22,WR,TCU,153.0,2010*,13.0,56.0,575.0,10.0,18.0,97.0,2.0,/cfb/schools/texas-christian/2010.html
Jeremy Kerley,22,WR,,,,14.0,29.0,314.0,1.0,,,,
Niles Paul,22,WR,Nebraska,155.0,2007,7.0,1.0,6.0,0.0,0.0,0.0,0.0,/cfb/schools/nebraska/2007.html
Niles Paul,22,WR,Nebraska,155.0,2008*,13.0,23.0,214.0,0.0,1.0,-6.0,0.0,/cfb/schools/nebraska/2008.html
Niles Paul,22,WR,Nebraska,155.0,2009*,14.0,40.0,796.0,4.0,3.0,48.0,1.0,/cfb/schools/nebraska/2009.html
