player_name,position,college_receiving_yards
Bryce Cain,WR,33
Dale Martin,WR,33
Izayah Cummings,WR,33
Kelan Robinson,WR,33
Keyshaun Pipkin,WR,33
TyLyric Coleman,WR,33
BJ Hawkins Jr.,WR,32
Tyrin Smith,WR,32
Brandon Engel,WR,31
Drew Wagner,WR,31
Larry Stephens,WR,31
Mudia Reuben,WR,31
Taylor Bradshaw,WR,31
Kenari Wilcher,WR,30
Timothy Conerly,WR,30
Tyler Brown,WR,30
Cody Hagen,WR,29
Connor Finer,WR,29
Monte Harrison,WR,29
William Fowles,WR,29
Kyan Mason,WR,28
Liam Fortner,WR,28
Luke Hutchison,WR,28
Ryan Manning,WR,28
Tyseer Denmark,WR,28
Beni Ngoyi,WR,27
Chris Brooks,WR,27
Christian Leary,WR,27
Koy Moore,WR,27
Misun Kelley,WR,27
Paul Billups II,WR,27
Payton Mangrum,WR,27
Phat Watts,WR,27
Tristen Brown,WR,27
Tyreek Robinson,WR,27
Luca Caldarella,WR,26
Tennel Bryant,WR,26
Jackson Crosby,WR,25
Jaydn Girard,WR,25
Krosse Johnson,WR,25
Malik Phillips,WR,25
Ray Daly,WR,25
Ashton Cozart,WR,24
Javen Nicholas,WR,24
Jeremiah McClellan,WR,24
Leo Blackburn,WR,24
Tama Uiliata,WR,24
Xavier Daisy,WR,24
Jadon Porter,WR,23
Jayden Dixon-Veal,WR,23
Barry Jackson Jr.,WR,22
CJ Charleston,WR,22
Donielle Hayes,WR,22
Izaiah Williams,WR,22
J.J. Butler,WR,22
Kyion Grayes,WR,22
Lyndon Ravare,WR,22
Shemar Kirk,WR,22
Terrell Timmons,WR,22
Alex Capka-Jones,WR,21
Braylon Staley,WR,21
Jaylan Hornsby,WR,21
Kelby Valsin,WR,21
Kyler Kasper,WR,21
Marquis Ashley,WR,21
Parker Clark,WR,21
Alante Brown,WR,20
Ardell Banks,WR,20
Donnie Gray,WR,20
Douglas Emilien,WR,20
Kellen Stewart,WR,20
Kerry King,WR,20
Latrell Neville,WR,20
Munir McClain,WR,20
Taylor Spierto,WR,20
Chris Barnes,WR,19
Destun Thomas,WR,19
Jackson Harris,WR,19
Jaden Richardson,WR,19
Joshua Aka,WR,19
Micah Gifford,WR,19
Wayne Harris,WR,19
Jack Wright,WR,18
Jayden Ballard,WR,18
Kaleb Brown,WR,18
Na'eem Abdul-Rahim Gladding,WR,18
Reign Broadway,WR,18
Terez Traynor,WR,18
Trey Weary,WR,18
Audric Harris,WR,17
Austin McGee,WR,17
Braylon Isom,WR,17
Brett Eskildsen,WR,17
Elijah Moore,WR,17
Jacob Coleman,WR,17
Jarel Williams,WR,17
Kenric Lanier II,WR,17
Luke McLaughlin,WR,17
Trevor Rogers,WR,17
Anthony Simpson,WR,16
Brionne Penny,WR,16
Jaelen Smith,WR,16
Jesse Watson,WR,16
Noble Johnson,WR,16
Tar'Varish Dawson Jr.,WR,16
Zach Gillispie,WR,16
Alex Taylor,WR,15
Amir McGruder,WR,15
Anthony Ivey,WR,15
Eli Wood,WR,15
Jared Merk,WR,15
Keron Milton,WR,15
Keshawn Brown,WR,15
Tommy McIntosh,WR,15
Zycarl Lewis Jr.,WR,15
Baylin Brooks,WR,14
BJ Gibson,WR,14
Brandon Winton,WR,14
Cale Cabbiness,WR,14
De'Corian Clark,WR,14
Ethan Crite,WR,14
Ja-Quavion Fraziars,WR,14
Jacob Bostick,WR,14
Keylen Adams,WR,14
Shane Johnson,WR,14
Treyv'on Culbert,WR,14
Ali Fisher,WR,13
Cameron Flowers,WR,13
Chris Marshall,WR,13
Davion Dozier,WR,13
Ezekial Avit,WR,13
Jahrique Lowe,WR,13
Kahleil Jackson,WR,13
Koby Young,WR,13
Nathan Leacock,WR,13
Quincy Burroughs,WR,13
Alex Bullock,WR,12
Allen Ortiz,WR,12
Dayton Sneed,WR,12
Drew Burnett,WR,12
Gary Bryant Jr.,WR,12
Javarius Green,WR,12
Nick Munson,WR,12
Tyrell Henry,WR,12
Zion Fowler-El,WR,12
Blaze Kamoku,WR,11
Braylon James,WR,11
Charles Ross,WR,11
Kendrick Rucker,WR,11
Leon Haughton Jr.,WR,11
Maxwell Moss,WR,11
Roman Mangini,WR,11
Tyson Thompson,WR,11
Carter Campbell,WR,10
David Adolph,WR,10
DeMarcus Harris,WR,10
Hunter Krepp,WR,10
Isaiah Garcia-Castaneda,WR,10
Jackson Wade,WR,10
JayShon Ridgle,WR,10
Jediyah Willoughby,WR,10
Michael Jackson III,WR,10
Andre Davis,WR,9
David Washington Jr.,WR,9
Dominic Overby,WR,9
Jett Coolman,WR,9
Kavon Pointer,WR,9
Quinn Fracassi,WR,9
Rahji Dennis,WR,9
Ricky Johnson,WR,9
Baron Tipton,WR,8
Cooper Rusk,WR,8
Dariyan Wiley,WR,8
Kojo Antwi,WR,8
Landon Baptiste,WR,8
Ny Carr,WR,8
Robert Smith Jr.,WR,8
Shawn Miller,WR,8
Tyler Williams,WR,8
Benny Haselrig,WR,7
Brady Boyd,WR,7
Coben Bourguet,WR,7
Isaac Smith,WR,7
Jurrion Dickey,WR,7
Kai Black,WR,7
Kyler Pearson,WR,7
Mack Moeller,WR,7
Malachi Riley,WR,7
Marcus Brown,WR,7
Nick Devereaux,WR,7
Wondame Davis Jr.,WR,7
Brady Simmons,WR,6
Bubba Hampton,WR,6
Jack Reynolds,WR,6
Jamaal Bell,WR,6
Kayden Chan,WR,6
Logan Muckey,WR,6
Nick Presley,WR,6
Sanfrisco Magee,WR,6
Adam Rammouni,WR,5
